epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.698,3.23636,3.82658,3.36425,0,0,0,0,3.06222,6.10918,3.34295,0.0669643,3.30688e-05,3.30688e-05
2,245.455,2.45904,2.41705,2.85171,0.73931,0.40096,0.49705,0.24014,2.02247,2.42212,2.78066,0.033663,6.50874e-05,6.50874e-05
3,371.872,1.92949,1.82093,2.40306,0.68657,0.61498,0.69691,0.39534,1.63943,1.67514,2.34842,0.000360336,9.57859e-05,9.57859e-05
4,498.065,1.68524,1.52339,2.13895,0.75133,0.71327,0.76704,0.48424,1.4186,1.31702,2.10767,9.406e-05,9.406e-05,9.406e-05
5,624.161,1.53265,1.38724,1.96524,0.78562,0.74584,0.82089,0.53975,1.31718,1.17921,1.98008,9.208e-05,9.208e-05,9.208e-05
6,750.339,1.46965,1.29313,1.8671,0.843,0.76326,0.8507,0.55776,1.24075,1.07182,1.85491,9.01e-05,9.01e-05,9.01e-05
7,876.467,1.36826,1.20253,1.77656,0.84879,0.75525,0.86185,0.59243,1.18357,1.08402,1.77598,8.812e-05,8.812e-05,8.812e-05
8,1002.56,1.3101,1.14174,1.70044,0.87662,0.82696,0.89211,0.61779,1.15752,0.95624,1.722,8.614e-05,8.614e-05,8.614e-05
9,1128.78,1.25865,1.0715,1.64606,0.8526,0.83505,0.90457,0.62328,1.12843,0.93419,1.6972,8.416e-05,8.416e-05,8.416e-05
10,1254.88,1.23264,1.0362,1.60169,0.86541,0.82144,0.90786,0.65588,1.05966,0.93363,1.58652,8.218e-05,8.218e-05,8.218e-05
11,1380.71,1.19567,0.99904,1.55807,0.85088,0.87423,0.9173,0.65151,1.09059,0.84011,1.63275,8.02e-05,8.02e-05,8.02e-05
12,1506.3,1.18208,0.95625,1.54539,0.87165,0.86925,0.91737,0.65439,1.05797,0.85913,1.61309,7.822e-05,7.822e-05,7.822e-05
13,1632.25,1.1451,0.9234,1.51121,0.77924,0.82542,0.84287,0.60504,1.06691,1.0664,1.57073,7.624e-05,7.624e-05,7.624e-05
14,1758.07,1.14652,0.93932,1.50997,0.87055,0.87435,0.92403,0.67658,0.99461,0.79688,1.50201,7.426e-05,7.426e-05,7.426e-05
15,1884.22,1.12269,0.90403,1.4787,0.89281,0.86551,0.9268,0.69161,0.9765,0.81783,1.49856,7.228e-05,7.228e-05,7.228e-05
